type,price,beds,bath,propertysqft,street_name,latitude,longitude,zip_code,city
condo for sale,50000000,6,6.0,6569.0,manhattan,40.7266327,-74.0088321,10013,new york
condo for sale,40000000,5,6.0,7488.0,manhattan,40.715351,-74.0128441,10007,new york
co-op for sale,169000,1,1.0,2184.207862,astoria,40.7759232,-73.9087334,11105,astoria
co-op for sale,199000,1,1.0,2184.207862,astoria,40.7771999,-73.9073699,11105,astoria
co-op for sale,225000,1,1.0,2184.207862,astoria,40.7753572,-73.9085482,11105,astoria
co-op for sale,229000,1,1.0,2184.207862,astoria,40.7763731,-73.9073075,11105,astoria
co-op for sale,269000,1,1.0,2184.207862,astoria,40.7759232,-73.9087334,11105,astoria
co-op for sale,270000,2,1.0,700.0,astoria,40.7751901,-73.9090015,11101,astoria
co-op for sale,270000,2,1.0,700.0,astoria,40.7769221,-73.9073482,11101,astoria
co-op for sale,289000,1,1.0,2184.207862,astoria,40.776279,-73.9082925,11105,astoria
co-op for sale,305000,2,1.0,600.0,astoria,40.7767119,-73.9077637,11105,astoria
co-op for sale,315000,2,1.0,2184.207862,astoria,40.7758184,-73.907993,11105,astoria
co-op for sale,339000,1,1.0,2184.207862,astoria,40.7755886,-73.9082717,11105,astoria
co-op for sale,395250,1,1.0,650.0,astoria,40.7642499,-73.92761,11106,astoria
co-op for sale,398000,3,1.0,2184.207862,astoria,40.7753841,-73.90928,11105,astoria
co-op for sale,400000,1,1.0,2184.207862,astoria,40.762146,-73.9318948,11106,queens
co-op for sale,469000,2,1.0,2184.207862,astoria,40.7623991,-73.9321744,11106,astoria
condo for sale,31000000,3,4.0,4492.0,manhattan,40.764953,-73.977568,10019,new york
condo for sale,29000000,5,2.373860858,5508.0,new york,40.7801822,-73.9536507,10128,new york
condo for sale,28000000,4,4.0,5000.0,manhattan,40.7229769,-74.0093524,10013,manhattan
condo for sale,27750000,7,8.0,8139.0,manhattan,40.7474926,-74.0072666,10011,new york
co-op for sale,288000,1,1.0,800.0,bath beach,40.6028929,-74.0093853,11214,brooklyn
co-op for sale,370000,2,1.0,800.0,bath beach,40.6033288,-74.0160805,11228,brooklyn
condo for sale,26000000,5,6.0,4859.0,manhattan,40.718295,-74.007645,10013,new york
condo for sale,25000000,5,6.0,4089.0,manhattan,40.7481933,-74.006941,10011,new york
co-op for sale,188000,3,1.0,300.0,bay ridge,40.6327714,-74.022251,11209,brooklyn
co-op for sale,189000,3,1.0,300.0,bay ridge,40.6327714,-74.022251,11209,brooklyn
co-op for sale,229000,1,1.0,650.0,bay ridge,40.6308291,-74.0250165,11209,brooklyn
co-op for sale,245000,1,1.0,550.0,bay ridge,40.6339001,-74.0299973,11209,brooklyn
co-op for sale,259000,1,1.0,570.0,bay ridge,40.6343667,-74.0311335,11209,brooklyn
co-op for sale,269000,1,1.0,625.0,bay ridge,40.632218,-74.0321902,11209,brooklyn
co-op for sale,280000,1,1.0,1000.0,bay ridge,40.6241766,-74.0216837,11209,brooklyn
co-op for sale,289000,1,1.0,520.0,bay ridge,40.6339937,-74.0363466,11209,brooklyn
co-op for sale,299000,1,1.0,750.0,bay ridge,40.636031,-74.0365302,11209,brooklyn
co-op for sale,305000,1,1.0,750.0,bay ridge,40.6347271,-74.036817,11209,brooklyn
co-op for sale,325000,1,1.0,775.0,bay ridge,40.6347771,-74.0316533,11209,brooklyn
co-op for sale,335000,1,1.0,756.0,bay ridge,40.6273371,-74.0262024,11209,brooklyn
co-op for sale,349000,1,1.0,652.0,bay ridge,40.6259955,-74.0323073,11209,brooklyn
condo for sale,24500000,4,6.0,5427.0,manhattan,40.7677424,-73.9700367,10065,manhattan
co-op for sale,398000,2,1.0,900.0,bay ridge,40.6337679,-74.0305471,11209,brooklyn
condo for sale,21500000,5,2.373860858,4179.0,new york,40.7847977,-73.9556597,10128,new york
pending,399000,1,1.0,775.0,bay ridge,40.6363145,-74.0363466,11209,brooklyn
co-op for sale,399000,1,1.0,681.0,bay ridge,40.6351164,-74.0311609,11209,brooklyn
co-op for sale,429000,2,1.0,850.0,bay ridge,40.6343667,-74.0311335,11209,brooklyn
co-op for sale,460000,1,1.0,950.0,bay ridge,40.6323374,-74.0301041,11209,brooklyn
co-op for sale,478000,1,1.0,750.0,bay ridge,40.6347771,-74.0316533,11209,brooklyn
co-op for sale,498000,2,1.0,975.0,bay ridge,40.6351164,-74.0311609,11209,brooklyn
co-op for sale,499000,2,1.0,900.0,bay ridge,40.6273371,-74.0262024,11209,brooklyn
co-op for sale,525000,2,1.0,1000.0,bay ridge,40.6393755,-74.0352909,11220,brooklyn
condo for sale,18950000,4,4.0,5075.0,manhattan,40.7219635,-74.0033414,10013,manhattan
co-op for sale,549000,3,1.0,1200.0,bay ridge,40.6358323,-74.0291372,11209,brooklyn
co-op for sale,599000,3,1.0,1200.0,bay ridge,40.6279352,-74.0260154,11209,brooklyn
condo for sale,18500000,4,4.0,4856.0,new york,40.7238868,-74.0021541,10012,manhattan
condo for sale,17500000,7,4.0,6300.0,manhattan,40.7193658,-74.0072206,10013,manhattan
co-op for sale,199999,1,1.0,2184.207862,bayside,40.762788,-73.7768814,11361,bayside
co-op for sale,202000,2,1.0,1453.0,bayside,40.7802813,-73.7818912,11360,bayside
co-op for sale,225000,1,1.0,2184.207862,bayside,40.7667099,-73.78272,11361,bayside
co-op for sale,265000,1,1.0,700.0,bayside,40.7824499,-73.7765099,11360,bayside
co-op for sale,265000,1,1.0,2184.207862,bayside,40.7800225,-73.7830402,11360,bayside
co-op for sale,270000,1,1.0,2184.207862,bayside,40.779366,-73.7827644,11360,bayside
co-op for sale,288000,2,1.0,2184.207862,bayside,40.7567043,-73.764352,11361,bayside
co-op for sale,299999,2,2.0,1300.0,bayside,40.7808597,-73.7834998,11360,bayside
co-op for sale,329000,2,1.0,2184.207862,bayside,40.7807824,-73.7743544,11360,bayside
co-op for sale,329888,3,1.0,2184.207862,bayside,40.7790999,-73.78125,11360,bayside
co-op for sale,335000,3,2.0,2184.207862,bayside,40.7805732,-73.7825806,11360,bayside
condo for sale,17500000,5,6.0,5499.0,new york,40.7143354,-74.0087443,10007,new york
co-op for sale,358000,2,1.0,2184.207862,bayside,40.7855174,-73.7797613,11360,bayside
co-op for sale,358000,2,1.0,2184.207862,bayside,40.7856799,-73.7816,11360,bayside
co-op for sale,359000,2,1.0,2184.207862,bayside,40.7838199,-73.78072,11360,bayside
